Name,Code,Week Change,Total Cash
"Rivian Automotive, Inc.",RIVN,"-1,747.41%",11.24B
"Tesla, Inc.",TSLA,"1,710.60%",22.4B
"Lucid Group, Inc.",LCID,"-5,979.49%",2.98B
"Marathon Digital Holdings, Inc.",MARA,"10,064.02%",124.88M
Ford Motor Company,F,"3,268.38%",28.62B
NIO Inc.,NIO,"-5,143.41%",32.61B
Alibaba Group Holding Limited,BABA,"-1,735.88%",524.47B
Palantir Technologies Inc.,PLTR,"6,046.02%",2.9B
Carnival Corporation & plc,CCL,"12,426.38%",4.47B
"Riot Platforms, Inc.",RIOT,"21,786.45%",158.27M
